E,E_actual,bits_lower,bits_upper,f_lower,f_upper,float_lower_interval_cap,float_upper_interval_cap,num_floats_in_interval,k,e,regime_length,exponent_bits_length,fraction_bits,p_lower,p_upper,posit_lower_interval_cap,posit_upper_interval_cap,num_posits_in_interval
154,27,2155872257,2157969408,-2.6843544e8,-1.3421773e8,11001101000000000000000000000000,11001101011111111111111111111111,8388608,6,3,8,2,21,Posit32(-2.68435392e8),Posit32(-1.34217728e8),10000000100000000000000000000001,10000000101000000000000000000000,2097152
155,28,2154823681,2155872256,-5.3687088e8,-2.6843546e8,11001101100000000000000000000000,11001101111111111111111111111111,8388608,7,0,9,2,20,Posit32(-5.36870656e8),Posit32(-2.68435456e8),10000000011100000000000000000001,10000000100000000000000000000000,1048576
156,29,2153775105,2154823680,-1.07374176e9,-5.368709e8,11001110000000000000000000000000,11001110011111111111111111111111,8388608,7,1,9,2,20,Posit32(-1.073741312e9),Posit32(-5.36870912e8),10000000011000000000000000000001,10000000011100000000000000000000,1048576
157,30,2152726529,2153775104,-2.1474835e9,-1.0737418e9,11001110100000000000000000000000,11001110111111111111111111111111,8388608,7,2,9,2,20,Posit32(-2.147482624e9),Posit32(-1.073741824e9),10000000010100000000000000000001,10000000011000000000000000000000,1048576
158,31,2151677953,2152726528,-4.294967e9,-2.1474836e9,11001111000000000000000000000000,11001111011111111111111111111111,8388608,7,3,9,2,20,Posit32(-4.294965248e9),Posit32(-2.147483648e9),10000000010000000000000000000001,10000000010100000000000000000000,1048576
159,32,2151153665,2151677952,-8.589934e9,-4.2949673e9,11001111100000000000000000000000,11001111111111111111111111111111,8388608,8,0,10,2,19,Posit32(-8.5899264e9),Posit32(-4.294967296e9),10000000001110000000000000000001,10000000010000000000000000000000,524288
160,33,2150629377,2151153664,-1.7179868e10,-8.589935e9,11010000000000000000000000000000,11010000011111111111111111111111,8388608,8,1,10,2,19,Posit32(-1.71798528e10),Posit32(-8.589934592e9),10000000001100000000000000000001,10000000001110000000000000000000,524288
161,34,2150105089,2150629376,-3.4359736e10,-1.717987e10,11010000100000000000000000000000,11010000111111111111111111111111,8388608,8,2,10,2,19,Posit32(-3.43597056e10),Posit32(-1.7179869184e10),10000000001010000000000000000001,10000000001100000000000000000000,524288
162,35,2149580801,2150105088,-6.8719473e10,-3.435974e10,11010001000000000000000000000000,11010001011111111111111111111111,8388608,8,3,10,2,19,Posit32(-6.87194112e10),Posit32(-3.4359738368e10),10000000001000000000000000000001,10000000001010000000000000000000,524288
163,36,2149318657,2149580800,-1.37438945e11,-6.871948e10,11010001100000000000000000000000,11010001111111111111111111111111,8388608,9,0,11,2,18,Posit32(-1.37438691328e11),Posit32(-6.8719476736e10),10000000000111000000000000000001,10000000001000000000000000000000,262144
164,37,2149056513,2149318656,-2.7487789e11,-1.3743895e11,11010010000000000000000000000000,11010010011111111111111111111111,8388608,9,1,11,2,18,Posit32(-2.74877382656e11),Posit32(-1.37438953472e11),10000000000110000000000000000001,10000000000111000000000000000000,262144
165,38,2148794369,2149056512,-5.4975578e11,-2.748779e11,11010010100000000000000000000000,11010010111111111111111111111111,8388608,9,2,11,2,18,Posit32(-5.49754765312e11),Posit32(-2.74877906944e11),10000000000101000000000000000001,10000000000110000000000000000000,262144
166,39,2148532225,2148794368,-1.09951156e12,-5.497558e11,11010011000000000000000000000000,11010011011111111111111111111111,8388608,9,3,11,2,18,Posit32(-1.099509530624e12),Posit32(-5.49755813888e11),10000000000100000000000000000001,10000000000101000000000000000000,262144
167,40,2148401153,2148532224,-2.1990231e12,-1.0995116e12,11010011100000000000000000000000,11010011111111111111111111111111,8388608,10,0,12,2,17,Posit32(-2.199014866944e12),Posit32(-1.099511627776e12),10000000000011100000000000000001,10000000000100000000000000000000,131072
168,41,2148270081,2148401152,-4.3980462e12,-2.1990233e12,11010100000000000000000000000000,11010100011111111111111111111111,8388608,10,1,12,2,17,Posit32(-4.398029733888e12),Posit32(-2.199023255552e12),10000000000011000000000000000001,10000000000011100000000000000000,131072
169,42,2148139009,2148270080,-8.7960925e12,-4.3980465e12,11010100100000000000000000000000,11010100111111111111111111111111,8388608,10,2,12,2,17,Posit32(-8.796059467776e12),Posit32(-4.398046511104e12),10000000000010100000000000000001,10000000000011000000000000000000,131072
170,43,2148007937,2148139008,-1.7592185e13,-8.796093e12,11010101000000000000000000000000,11010101011111111111111111111111,8388608,10,3,12,2,17,Posit32(-1.7592118935552e13),Posit32(-8.796093022208e12),10000000000010000000000000000001,10000000000010100000000000000000,131072
171,44,2147942401,2148007936,-3.518437e13,-1.7592186e13,11010101100000000000000000000000,11010101111111111111111111111111,8388608,11,0,13,2,16,Posit32(-3.5184103653376e13),Posit32(-1.7592186044416e13),10000000000001110000000000000001,10000000000010000000000000000000,65536
172,45,2147876865,2147942400,-7.036874e13,-3.5184372e13,11010110000000000000000000000000,11010110011111111111111111111111,8388608,11,1,13,2,16,Posit32(-7.0368207306752e13),Posit32(-3.5184372088832e13),10000000000001100000000000000001,10000000000001110000000000000000,65536
173,46,2147811329,2147876864,-1.4073748e14,-7.0368744e13,11010110100000000000000000000000,11010110111111111111111111111111,8388608,11,2,13,2,16,Posit32(-1.40736414613504e14),Posit32(-7.0368744177664e13),10000000000001010000000000000001,10000000000001100000000000000000,65536
174,47,2147745793,2147811328,-2.8147496e14,-1.4073749e14,11010111000000000000000000000000,11010111011111111111111111111111,8388608,11,3,13,2,16,Posit32(-2.81472829227008e14),Posit32(-1.40737488355328e14),10000000000001000000000000000001,10000000000001010000000000000000,65536
175,48,2147713025,2147745792,-5.6294992e14,-2.8147498e14,11010111100000000000000000000000,11010111111111111111111111111111,8388608,12,0,14,2,15,Posit32(-5.6294136348672e14),Posit32(-2.81474976710656e14),10000000000000111000000000000001,10000000000001000000000000000000,32768
176,49,2147680257,2147713024,-1.12589984e15,-5.6294995e14,11011000000000000000000000000000,11011000011111111111111111111111,8388608,12,1,14,2,15,Posit32(-1.12588272697344e15),Posit32(-5.62949953421312e14),10000000000000110000000000000001,10000000000000111000000000000000,32768
177,50,2147647489,2147680256,-2.2517997e15,-1.1258999e15,11011000100000000000000000000000,11011000111111111111111111111111,8388608,12,2,14,2,15,Posit32(-2.25176545394688e15),Posit32(-1.125899906842624e15),10000000000000101000000000000001,10000000000000110000000000000000,32768
178,51,2147614721,2147647488,-4.5035994e15,-2.2517998e15,11011001000000000000000000000000,11011001011111111111111111111111,8388608,12,3,14,2,15,Posit32(-4.50353090789376e15),Posit32(-2.251799813685248e15),10000000000000100000000000000001,10000000000000101000000000000000,32768
179,52,2147598337,2147614720,-9.0071987e15,-4.5035996e15,11011001100000000000000000000000,11011001111111111111111111111111,8388608,13,0,15,2,14,Posit32(-9.006924376834048e15),Posit32(-4.503599627370496e15),10000000000000011100000000000001,10000000000000100000000000000000,16384
180,53,2147581953,2147598336,-1.8014397e16,-9.007199e15,11011010000000000000000000000000,11011010011111111111111111111111,8388608,13,1,15,2,14,Posit32(-1.8013848753668096e16),Posit32(-9.007199254740992e15),10000000000000011000000000000001,10000000000000011100000000000000,16384
181,54,2147565569,2147581952,-3.6028795e16,-1.8014399e16,11011010100000000000000000000000,11011010111111111111111111111111,8388608,13,2,15,2,14,Posit32(-3.602769750733619e16),Posit32(-1.8014398509481984e16),10000000000000010100000000000001,10000000000000011000000000000000,16384
